6.622941,4.689388,6.622903,6.601305
8.654255,6.135280,8.652164,8.289872
3.340495,2.360762,3.334651,3.675112
4.797414,3.387381,4.783968,5.350732
1.602809,1.127097,1.591507,1.298258
6.365210,4.506469,6.364187,6.539509
7.619918,5.389224,7.618609,7.856316
2.691158,1.915481,2.691017,2.640540
0.793590,0.485178,0.675395,0.202357
0.356176,0.232713,0.319856,0.021006
7.817614,5.537277,7.817537,7.797309
0.282243,0.174952,0.241588,0.479013
2.578693,1.718956,2.416809,0.987835
7.863212,5.570361,7.862086,8.115061
3.710792,2.639770,3.709648,3.873542
3.939421,2.795637,3.939218,4.001389
3.337511,2.362771,3.336780,3.183576
8.454633,5.974515,8.431023,9.487011
1.539235,1.079771,1.508705,0.995341
5.531166,3.909596,5.524624,5.895488
4.252918,2.967445,4.178457,5.527482
4.287564,3.037219,4.286134,4.114931
1.360652,0.926133,1.298761,0.569940
0.215030,0.139478,0.188037,0.213032
5.945652,4.224142,5.945404,6.018816
3.135217,2.229394,3.129416,3.479278
8.853185,6.270237,8.848712,9.271730
7.488581,5.306790,7.488533,7.522885
2.546181,1.750591,2.471017,1.394245
6.449863,4.567498,6.440774,5.893206
1.828874,1.283071,1.807215,2.285706
3.164841,2.247989,3.157762,3.527384
6.548868,4.637404,6.543802,6.984249
5.951997,4.210241,5.949017,5.711240
4.364601,3.090438,4.364573,4.384841
8.285555,5.854996,8.254719,9.416551
5.510320,3.889756,5.486083,4.508620
2.677802,1.887664,2.665820,2.239625
7.160881,5.076133,7.159477,7.388240
2.394601,1.711649,2.394489,2.370029
5.540223,3.899429,5.505020,6.685530
3.441800,2.436639,3.439641,3.235636
7.044425,4.983274,7.040873,7.427067
3.831774,2.687827,3.799832,4.557338
1.382939,0.972453,1.371488,1.109081
1.833651,1.301751,1.833221,1.895411
4.076974,2.906611,4.076697,4.142809
2.204224,1.561295,2.179369,1.564216
2.025011,1.416415,2.000467,2.507374
1.127227,0.789610,1.113731,0.853736
6.036696,4.272928,6.035439,6.241407
2.337230,1.530199,2.147009,0.488792
3.705922,2.611312,3.686313,4.277362
0.601188,0.432706,0.600284,0.635048
0.726905,0.512042,0.717791,0.908613
0.821133,0.586935,0.819276,0.711256
7.887975,5.578101,7.884174,7.476439
2.051968,1.429699,2.020726,2.717883
4.180516,2.952601,4.172480,3.753019
3.029549,2.155895,3.029276,3.108514
6.067283,4.296583,6.066635,6.173119
5.787241,4.095613,5.786901,5.863642
4.761042,3.385798,4.758615,4.990250
5.609994,3.983219,5.609809,5.658355
1.022251,0.699446,0.987213,0.516312
